,0.ra,0.dec,hip,solution_id,source_id,name,phot_g_mean_mag,bjmag,ebjmag,vjmag,evjmag,parallax,parallax_error,OC_dist
731,0.490721253882079,-30.1579553937791,,1.6353784107819336e+18,2.3208347471801615e+18,20131425.0,9.86599040065359,10.261,0.028,9.946,0.03,4.48278649606015,0.5224380177617008,0.269
732,0.590243346296975,-30.1393286654261,,1.6353784107819336e+18,2.3207938934512415e+18,20131425.0,10.5704642623122,11.194,0.03,10.715,0.028,4.33024464617056,0.457602793433403,0.269
735,0.795157897341019,-30.1802577002624,,1.6353784107819336e+18,2.320790285678714e+18,20131425.0,11.1474473954074,11.873,0.046,11.284,0.025,4.92445418257486,0.8668711622213958,0.269
745,1.73241124349339,-30.6030658827687,571.0,1.6353784107819336e+18,2.3205425863239276e+18,20131425.0,10.1130346144495,10.6,0.034,10.218,0.039,3.73018835254395,0.3937188389529194,0.269
754,1.13202606472383,-30.2449025317194,,1.6353784107819336e+18,2.3207986350955407e+18,20131425.0,11.5081250639552,12.306,0.044,11.66,0.013,3.85069549268584,0.7229356015632967,0.269
755,1.222302589333,-30.2565952210532,395.0,1.6353784107819336e+18,2.3206107216851026e+18,20131425.0,8.33472377089042,8.355,0.089,8.321,0.167,4.33702187089667,0.5407842890502198,0.269
758,1.04967350512989,-30.1348995128281,328.0,1.6353784107819336e+18,2.3208030675013857e+18,20131425.0,7.11171350064174,7.486,0.37,7.368,0.399,3.39542246400556,0.5351857171510016,0.269
760,0.959136829825109,-30.0654630737934,,1.6353784107819336e+18,2.320816227281177e+18,20131425.0,10.9060770876362,11.581,0.041,11.029,0.025,4.55366787753872,0.5304115287156341,0.269
762,1.24525945423677,-30.1615534391127,,1.6353784107819336e+18,2.3206175249132984e+18,20131425.0,11.287590096732,12.052,0.034,11.435,0.025,4.01265957739953,0.6127290051124641,0.269
763,1.36157633821594,-30.2901204527269,,1.6353784107819336e+18,2.3206127489096663e+18,20131425.0,9.64589827103055,9.986,0.035,9.691,0.033,4.42244457572686,0.5290065931939956,0.269
764,1.36157633821594,-30.2901204527269,,1.6353784107819336e+18,2.3206127489096663e+18,20180036.0,9.64589827103055,9.951,0.031,9.726,0.026,4.42244457572686,0.5290065931939956,0.269
769,1.56822749824518,-30.0991831170285,,1.6353784107819336e+18,2.3207096433720545e+18,20131426.0,11.5116798805504,12.357,0.046,11.697,0.03,4.39961116667299,0.39407642550550515,0.269
780,0.835983704643805,-29.8229756542727,,1.6353784107819336e+18,2.320869897192498e+18,20131425.0,11.1168555890747,11.864,0.051,11.273,0.028,5.13324096862582,0.6349357957570215,0.269
781,0.851717114995118,-29.8137245116401,,1.6353784107819336e+18,2.3208697253938063e+18,20131425.0,10.4982582975985,11.116,0.041,10.628,0.035,4.7592745197791,0.4735484198931794,0.269
782,0.882960174762006,-29.7179783236171,,1.6353784107819336e+18,2.3208772158167675e+18,20131425.0,10.0244742495819,10.512,0.039,10.138,0.04,4.06162362589715,0.43858940742995245,0.269
784,0.548773886960347,-29.6942820248961,,1.6353784107819336e+18,2.3208862180682194e+18,20131425.0,11.650748121629,12.538,0.047,11.856,0.032,4.23643229520608,0.39929545962972,0.269
788,0.777244155722133,-29.3622233479193,,1.6353784107819336e+18,2.320994588682307e+18,20131425.0,11.4644928450561,12.283,0.036,11.617,0.025,4.13335449463084,0.5118827721899638,0.269
789,1.20511629921937,-30.0146703673255,,1.6353784107819336e+18,2.3208102486866985e+18,20131425.0,10.97573328698,11.689,0.039,11.115,0.03,4.1288352839408,0.41243994617799495,0.269
791,1.07820031543683,-29.8256985941048,,1.6353784107819336e+18,2.320826432123463e+18,20131425.0,10.3776887738378,10.929,0.036,10.505,0.034,4.64270602368363,0.4572988188796404,0.269
794,1.42907831331524,-29.9606149187526,477.0,1.6353784107819336e+18,2.320902057906745e+18,20131426.0,9.82327792513278,10.215,0.041,9.904,0.052,4.59006478615412,0.37457113677040893,0.269
797,1.37899456315068,-29.8855909503524,,1.6353784107819336e+18,2.320903844613139e+18,20131425.0,11.087504977206,11.817,0.042,11.235,0.033,4.57514898492751,0.46238526851672734,0.269
800,1.21185805659885,-29.6330269515438,389.0,1.6353784107819336e+18,2.320926178443222e+18,20131425.0,8.33010702316881,8.354,0.118,8.352,0.223,4.19608597210449,0.4281813102272897,0.269
802,1.09553857541265,-29.3815598018307,349.0,1.6353784107819336e+18,2.3209798483545477e+18,20131425.0,7.7972648350401,7.945,0.271,7.978,0.37,4.61030577925842,0.4253343035408072,0.269
803,1.32674517666903,-29.5015519781744,,1.6353784107819336e+18,2.320933153470108e+18,20131425.0,11.1288970183173,12.138,0.049,11.405,0.047,4.35999287282411,0.5699090417639908,0.269
