,0.ra,0.dec,hip,solution_id,source_id,name,phot_g_mean_mag,bjmag,ebjmag,vjmag,evjmag,parallax,parallax_error,OC_dist
1284,59.0464071961655,22.2209961433872,,1.6353784107819336e+18,6.530910090454528e+16,20151079.0,11.2409714144983,12.415,0.02,11.58,0.033,7.6229805245667,0.3920514269663478,0.15
1292,59.0162564421694,22.2267610365866,,1.6353784107819336e+18,6.530841370977766e+16,20151079.0,8.94416031087152,99.999,9.999,99.999,9.999,8.29137182783605,0.38114521240899496,0.15
1468,60.9341249160555,22.9440977692576,18955.0,1.6353784107819336e+18,5.378384822332698e+16,20151080.0,9.49086362864397,10.296,0.045,99.999,9.999,7.23439687495951,0.45632770951376045,0.15
1662,52.8682026257856,21.8217171596089,16423.0,1.6353784107819336e+18,6.151966843960499e+16,20121077.0,8.74505568251102,99.999,9.999,99.999,9.999,7.8117577889091,0.39962819175175907,0.15
1875,52.40996925616,24.5103455251534,,1.6353784107819336e+18,6.889783813790221e+16,20151201.0,11.8093713853963,13.058,0.019,12.169,0.046,6.89196535750028,0.4108390248892831,0.15
1906,52.8165708440947,25.2552705893029,16407.0,1.6353784107819336e+18,6.93356155665559e+16,20121202.0,8.08421241998603,99.999,9.999,99.999,9.999,7.5705055878319,0.45044186794144464,0.15
1993,52.8902081304153,26.2652900313356,16431.0,1.6353784107819336e+18,6.964375369813338e+16,20121324.0,10.5117459479782,11.428,0.031,10.758,0.022,7.05564422947409,0.4127726824318167,0.15
2103,52.0462692314335,27.3070356322922,,1.6353784107819336e+18,1.180787870898834e+17,20151201.0,10.5292516367215,11.469,0.015,10.751,0.059,7.77724974284861,0.38231800702543894,0.15
2207,53.274365943504,22.1340601258619,,1.6353784107819336e+18,6.155464665258074e+16,20121077.0,11.135807691679,12.223,0.049,11.41,0.055,7.43662075190474,0.5043365489693241,0.15
2228,53.307999748513,23.0062461950676,,1.6353784107819336e+18,6.768085056464179e+16,20121077.0,11.5857671343611,12.95,0.048,11.988,0.073,7.89571195025769,0.39189783868844147,0.15
