,0.ra,0.dec,hip,solution_id,source_id,name,phot_g_mean_mag,bjmag,ebjmag,vjmag,evjmag,parallax,parallax_error,OC_dist
691,130.198229501954,18.9032588735929,,1.6353784107819336e+18,6.609989715478509e+17,20150847.0,11.203660987156,12.143,0.024,11.401,0.021,4.99313845102961,0.9597543325508957,0.187
701,130.950465854298,18.8006999582486,,1.6353784107819336e+18,6.609579803800347e+17,20120978.0,9.93886292116919,10.532,0.031,10.127,0.087,5.74341533517003,0.5224394601968938,0.187
706,130.779217995981,19.0683067170752,,1.6353784107819336e+18,6.610159108989101e+17,20120978.0,9.39816357938406,10.062,-0.001,99.999,9.999,4.99946702010956,0.5139883194462637,0.187
712,130.774590018307,19.4375258303009,,1.6353784107819336e+18,6.61043845366042e+17,20120978.0,9.73751166432633,10.583,0.03,10.046,0.006,5.38696485961633,0.5363395858508928,0.187
715,129.995984348542,20.0313547706889,,1.6353784107819336e+18,6.613247018674806e+17,20150977.0,9.11421922847338,99.999,9.999,99.999,9.999,4.99002027881654,0.4407789440776695,0.187
716,129.771645713058,20.1171135617803,,1.6353784107819336e+18,6.643308353772709e+17,20150977.0,9.26545436484561,99.999,9.999,99.999,9.999,5.23288764585475,0.4705617622784305,0.187
717,129.812311188826,20.2107228545665,,1.6353784107819336e+18,6.643448197907826e+17,20150977.0,11.0741146793185,11.946,0.021,11.278,0.026,5.24257098086385,0.7517326651279896,0.187
719,130.005243900341,20.1355739348517,,1.6353784107819336e+18,6.643289112319209e+17,20150977.0,9.53617727583539,10.14,0.102,99.999,9.999,5.37696190711121,0.5865004391115396,0.187
720,129.993061405772,20.158189502897,,1.6353784107819336e+18,6.64329186109827e+17,20150977.0,8.81764215578667,99.999,9.999,99.999,9.999,5.3532409499593,0.4298127049697446,0.187
723,130.092815727312,20.1067021055533,,1.6353784107819336e+18,6.614192598674555e+17,20150977.0,9.91940507237291,10.554,0.032,10.071,0.059,5.57986008475331,0.5026816436650274,0.187
729,129.976203936661,20.5601546756491,,1.6353784107819336e+18,6.644529498875951e+17,20121104.0,9.21357786047564,10.182,0.027,99.999,9.999,5.3481473306349,0.42842597335207894,0.187
735,130.218502308648,20.266466550628,,1.6353784107819336e+18,6.644246374630058e+17,20150977.0,8.42019777183065,99.999,9.999,99.999,9.999,5.42811090055062,0.42645576133665125,0.187
736,130.471254940739,20.159383527856,,1.6353784107819336e+18,6.614227645607674e+17,20150977.0,8.46150606828111,99.999,9.999,99.999,9.999,5.51946859515254,0.41917252691636125,0.187
737,130.432405936551,20.2268184087582,,1.6353784107819336e+18,6.61424070230823e+17,20150977.0,10.3020912283218,10.988,0.014,10.431,0.024,5.63492260526665,0.6489627090367306,0.187
738,130.589888950301,20.1815955647647,,1.6353784107819336e+18,6.614124909989942e+17,20150977.0,9.10912581618927,99.999,9.999,99.999,9.999,5.32074944162812,0.5505624107769026,0.187
742,131.154145349329,19.7108167625362,,1.6353784107819336e+18,6.61148264610948e+17,20120978.0,10.28928752983,11.02,0.029,10.462,0.028,5.78059326921856,0.5846171722783087,0.187
750,130.897898518877,20.1895276977266,,1.6353784107819336e+18,6.613862401588936e+17,20150977.0,9.96797405715129,10.572,0.018,10.069,0.024,5.85728058593375,0.5898855980729658,0.187
776,131.80867357128,16.3964355806822,,1.6353784107819336e+18,6.101949029149617e+17,20150717.0,10.4614322821315,11.2,0.055,10.608,0.021,5.18321901535156,0.8367467295048558,0.187
846,133.377473250016,16.9885045754084,,1.6353784107819336e+18,6.116945680557997e+17,20150849.0,9.33957702495338,99.999,9.999,99.999,9.999,5.83823666494076,0.4937036070620657,0.187
861,132.11582779874,18.3454801079155,,1.6353784107819336e+18,6.602044025983973e+17,20120978.0,11.2067314869796,12.111,0.022,11.411,0.009,5.95066534895074,0.8699410865937353,0.187
865,131.335371052064,18.8753447304988,42952.0,1.6353784107819336e+18,6.609539946503804e+17,20120978.0,8.38181833466641,8.693,-0.0,8.398,-0.0,5.29716070714314,0.6496324797906219,0.187
869,131.638477217701,18.7609143581413,43086.0,1.6353784107819336e+18,6.602887901158136e+17,20120978.0,9.0563643193339,9.54,-0.0,9.116,-0.0,5.43420527528247,0.44030832802675723,0.187
870,131.443726766094,19.0494116445565,42993.0,1.6353784107819336e+18,6.6105167938643e+17,20120978.0,7.99184831891571,8.257,-0.0,7.986,-0.0,6.41695795528685,0.5275616673075266,0.187
